"Año","Tipo de elección","Cod_depto","Departamento","Cod_municipio","Municipio","Zona","Cod_puesto","Puesto de votación","Sexo","","","Potencial electoral","Rangos Etareos","","","","","","","","","","",""
"","","","","","","","","","Hombres","Mujeres","Otros","","18-20","21-25","26-30","31-35","36-40","41-45","46-50","51-55","56-60","mas de 60","sin fecha de nacimiento","extranjero"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","01","USAQUÉN","15.316","13.189","0","28.505","275","2235","3991","5412","2248","1059","2521","4266","1672","4826","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","02","SERVITA","10.483","12.873","0","23.356","511","442","3951","2679","2414","1843","1696","1999","2128","5693","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","03","CALAZANS","4.443","5.210","0","9.653","405","659","1350","1373","912","730","728","712","748","2036","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","04","COLEGIO AQUILEO PARRA SEDE BACHILLERATO","6.532","7.750","0","14.282","279","1288","2190","1241","1525","1229","1229","1213","1162","2926","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","05","LIJACA","5.218","5.902","0","11.120","263","776","1622","2239","1081","1004","811","832","745","1747","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","06","SAN ANTONIO UNIÓN COLOMBIA","5.205","6.000","0","11.205","139","1586","1733","1081","966","986","898","870","888","2057","0","1"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","07","COLEGIO AGUSTIN FERNANDEZ SEDE A","5.653","6.348","0","12.001","413","1520","2015","1563","887","763","741","770","808","2520","1","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","08","CENTRO COMERCIAL CEDRITOS 151","8.654","11.754","0","20.408","501","297","1244","2020","1423","1649","1642","1602","1755","8275","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","09","UNIVERSIDAD EL BOSQUE","6.867","8.812","0","15.679","26","1200","2253","1891","1274","1069","983","927","1108","4948","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","10","SANTO TOMAS DE AQUINO","6.329","8.359","0","14.688","10","128","1258","1200","1089","1266","1125","1150","1232","6230","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","11","INSTITUTO PEDAGOGICO NACIONAL","6.019","6.769","0","12.788","35","972","1884","992","3702","812","665","599","690","2437","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","12","CENTRO COMERCIAL UNICENTRO","13.650","16.987","0","30.637","0","220","1266","3149","2220","2519","2797","2906","3215","12345","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","13","PLAZA MEXICO","5.202","6.436","0","11.638","0","521","1186","1136","952","1015","819","889","1123","3997","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","14","SANTA PAULA","4.245","5.311","0","9.556","0","415","1250","969","915","1000","919","764","763","2561","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","15","CENTRO COMERCIAL HACIENDA SANTA BARBARA","6.321","7.717","0","14.038","47","1480","1215","1197","1158","1111","1094","1059","1248","4429","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","16","COLEGIO MONTERROSALES","1.168","1.177","0","2.345","45","221","332","240","223","216","244","205","182","437","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","17","COLEGIO DISTRITAL TOBERIN SEDE A","5.850","6.956","0","12.806","0","657","1542","1145","1177","1290","1191","1190","1181","3433","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","18","PARQUE CEDRITOS","4.705","6.273","0","10.978","0","374","929","1005","1002","1067","960","836","867","3938","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","19","CEDRO GOLF","4.673","5.912","0","10.585","34","1059","1199","1120","802","891","856","710","755","3153","0","6"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","20","BUENAVISTA","3.508","4.170","0","7.678","0","541","1459","1001","862","710","690","592","499","1324","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","21","CANAIMA","2.262","2.029","0","4.291","160","269","1329","1055","254","251","236","184","178","375","0","0"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","22","ALESSANDRO VOLTA","3.728","4.473","0","8.201","762","1110","780","832","861","790","680","561","517","1284","1","23"
"2023","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","23","COLEGIO DISTRITAL USAQUEN SEDE A","2.384","2.927","0","5.311","467","543","515","496","511","523","433","389","385","989","0","60"
