"Año","Tipo de elección","Cod_depto","Departamento","Cod_municipio","Municipio","Zona","Cod_puesto","Puesto de votación","Sexo","","","Potencial electoral","Rangos Etareos","","","","","","","","","","",""
"","","","","","","","","","Hombres","Mujeres","Otros","","18-20","21-25","26-30","31-35","36-40","41-45","46-50","51-55","56-60","mas de 60","sin fecha de nacimiento","extranjero"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","28","ALTA BLANCA","1.073","1.453","0","2.526","362","260","232","312","300","248","187","156","154","314","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","29","COLEGIO TOBERIN ""B""","1.474","1.856","0","3.330","480","328","351","341","377","336","269","244","200","403","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","30","EL PITE","323","417","0","740","127","94","72","69","104","62","61","42","41","68","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","31","EL CODITO","1.139","1.303","0","2.442","948","722","143","140","147","99","56","58","44","85","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","32","VERBENAL SANTA MARIA","2.087","2.738","0","4.825","833","482","583","559","615","425","347","272","244","462","0","3"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","33","SALUDCOOP NORTE","1.489","1.923","0","3.412","442","427","404","441","469","331","240","206","167","284","0","1"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","34","TORCA","149","144","0","293","106","54","13","7","18","15","21","14","17","28","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","35","CARULLA 140","3.756","5.593","0","9.349","675","622","1038","1341","1224","830","583","598","616","1822","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","36","COLEGIO SAN FRANCISCO CL 186","339","410","0","749","189","67","90","76","90","64","50","44","43","36","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","37","BUEN CONSEJO","635","782","0","1.417","123","79","157","183","224","138","84","86","89","226","0","28"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","38","PLAZOLETA SANTA BARBARA","1.008","1.155","0","2.163","496","166","221","214","200","164","143","148","143","250","0","18"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","39","UNIVERSIDAD MILITAR","252","245","0","497","91","68","65","50","54","37","34","25","18","51","0","4"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","40","LA ESTRELLITA","174","287","0","461","112","42","38","65","50","37","40","31","13","33","0","0"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","41","ESCLAVAS DEL SAGRADO CORAZON","470","558","0","1.028","116","98","118","110","99","103","75","81","53","173","0","2"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","42","CARDENAL SANCHA","652","819","0","1.471","178","130","166","171","141","116","102","108","87","253","0","19"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","43","SIERVAS SAN JOSE LA CALLEJA","398","480","0","878","114","67","77","91","101","71","69","68","62","151","0","7"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","44","COLEGIO PROVINMA","1.060","1.376","0","2.436","240","177","285","304","268","178","166","172","176","447","0","23"
"2019","AUTORIDADES TERRITORIALES","16","BOGOTA D.C.","001","BOGOTA. D.C.","01","45","COLEGIO SANS FACON","236","267","0","503","85","40","38","45","64","51","37","40","34","64","0","5"
